杜詩詳註卷之一
遊龍門奉先寺 // 0042 1.1,PDF1.74,津PDF2.2,PDF1.82
江南逢李龜年 // 5993 5.2060,PDF5.148,津PDF14.34,
小寒食舟中作 // 6002 5.2061,PDF5.149,津PDF14.35,
燕子來舟中作 // 5999 5.2063,PDF5.151,津PDF14.36,
贈韋七贊善 // 6011 5.2064,PDF5.152,津PDF14.37,
奉酬寇十侍御錫見寄四韻復寄寇 // 6014 5.2066,PDF5.154,津PDF14.38,
入衡州 // 6018 5.2067,PDF5.155,津PDF14.38,
逃難 // 6033 5.2073,PDF5.161,津PDF14.42,
白馬 // 6036 5.2073,PDF5.161,津PDF14.42,
舟中苦熱遣懷奉呈陽中丞通簡臺省諸公 // 6039 5.2074,PDF5.162,津PDF14.43,
江閣對雨有懷行營裴二端公 // 6079 5.2077,PDF5.165,津PDF14.45,
題衡山縣文宣王廟新學堂呈陸宰 // 6048 5.2079,PDF5.167,津PDF14.46,
聶耒陽以僕阻水書致酒肉療饑荒江詩得代懷興盡本韻至縣呈聶令陸路去方田驛四十里舟行一日時屬江漲泊於方田 // 6056 5.2081,PDF5.169,津PDF14.47,
迴棹 // 6069 5.2085,PDF5.173,津PDF14.50,
過洞庭湖 // 6083 5.2087,PDF5.175,津PDF14.51,
登舟將適漢陽 // 5849 5.2088,PDF5.176,津PDF14.52,
暮秋將歸秦留别湖南幕府親友 // 6087 5.2089,PDF5.177,津PDF14.52,
長沙送李十一 // 6090 5.2090,PDF5.178,津PDF14.53,
風疾舟中伏枕書懷三十六韻奉呈湖南親友 // 6093 5.2091,PDF5.179,津PDF14.54,
